Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
jan/15;FNDE;153173 / 15253;2.604.077.590,00
jan/15;INCRA;373001 / 37201;181.456.016,00
jan/15;SENAI;33.564.543/0001-90;219.119.330,00
jan/15;SESI;33.641.358/0001-52;313.370.139,00
jan/15;SENAC;33.469.172/0001-68;334.005.249,00
jan/15;SESC;33.469.164/0001-11;597.447.338,00
jan/15;SEBRAE;00.330.854/0001-45;428.247.534,00
jan/15;EMBRATUR;35.842.428/0001-66;0
jan/15;DPC;852001 / 00001;20.988.896,00
jan/15;ANAC;122002 / 00001;30.221.162,00
jan/15;SENAR;37.138.245/0001-90;40.999.819,00
jan/15;SEST;73.471.989/0001-95;57.041.322,00
jan/15;SENAT;73.471.963/0001-47;37.293.612,00
jan/15;SESCOOP;03.087.543/0001-86;39.616.737,00
jan/15;SDR;420013 / 00001;32.001.111,00
jan/15;APEX-BR;05.507.500/0001-38;62.241.408,00
jan/15;ABDI;07.200.966/0001-11;8.917.017,00
fev/15;FNDE;153173 / 15253;1.526.976.201,00
fev/15;INCRA;373001 / 37201;106.202.613,00
fev/15;SENAI;33.564.543/0001-90;135.090.247,00
fev/15;SESI;33.641.358/0001-52;193.889.080,00
fev/15;SENAC;33.469.172/0001-68;199.378.928,00
fev/15;SESC;33.469.164/0001-11;355.385.173,00
fev/15;SEBRAE;00.330.854/0001-45;253.753.729,00
fev/15;EMBRATUR;35.842.428/0001-66;0
fev/15;DPC;852001 / 00001;12.376.606,00
fev/15;ANAC;122002 / 00001;17.622.443,00
fev/15;SENAR;37.138.245/0001-90;39.006.482,00
fev/15;SEST;73.471.989/0001-95;34.810.740,00
fev/15;SENAT;73.471.963/0001-47;22.063.632,00
fev/15;SESCOOP;03.087.543/0001-86;22.396.117,00
fev/15;SDR;420013 / 00001;18.728.858,00
fev/15;APEX-BR;05.507.500/0001-38;36.879.718,00
fev/15;ABDI;07.200.966/0001-11;5.283.568,00
mar/15;FNDE;153173 / 15253;1.497.863.152,00
mar/15;INCRA;373001 / 37201;104.401.840,00
mar/15;SENAI;33.564.543/0001-90;130.078.300,00
mar/15;SESI;33.641.358/0001-52;186.597.391,00
mar/15;SENAC;33.469.172/0001-68;194.608.000,00
mar/15;SESC;33.469.164/0001-11;350.007.688,00
mar/15;SEBRAE;00.330.854/0001-45;250.133.611,00
mar/15;EMBRATUR;35.842.428/0001-66;0
mar/15;DPC;852001 / 00001;12.688.337,00
mar/15;ANAC;122002 / 00001;17.651.320,00
mar/15;SENAR;37.138.245/0001-90;38.444.869,00
mar/15;SEST;73.471.989/0001-95;35.367.894,00
mar/15;SENAT;73.471.963/0001-47;22.303.291,00
mar/15;SESCOOP;03.087.543/0001-86;22.938.132,00
mar/15;SDR;420013 / 00001;18.417.897,00
mar/15;APEX-BR;05.507.500/0001-38;35.640.967,00
mar/15;ABDI;07.200.966/0001-11;5.106.097,00
abr/15;FNDE;153173 / 15253;1.491.264.359,00
abr/15;INCRA;373001 / 37201;104.205.840,00
abr/15;SENAI;33.564.543/0001-90;129.316.956,00
abr/15;SESI;33.641.358/0001-52;186.271.308,00
abr/15;SENAC;33.469.172/0001-68;194.953.409,00
abr/15;SESC;33.469.164/0001-11;347.541.683,00
abr/15;SEBRAE;00.330.854/0001-45;246.697.381,00
abr/15;EMBRATUR;35.842.428/0001-66;0
abr/15;DPC;852001 / 00001;11.957.274,00
abr/15;ANAC;122002 / 00001;15.279.686,00
abr/15;SENAR;37.138.245/0001-90;43.489.888,00
abr/15;SEST;73.471.989/0001-95;35.896.833,00
abr/15;SENAT;73.471.963/0001-47;22.647.809,00
abr/15;SESCOOP;03.087.543/0001-86;22.372.341,00
abr/15;SDR;420013 / 00001;18.378.264,00
abr/15;APEX-BR;05.507.500/0001-38;35.586.839,00
abr/15;ABDI;07.200.966/0001-11;5.098.347,00
mai/15;FNDE;153173 / 15253;1.471.212.673,00
mai/15;INCRA;373001 / 37201;102.665.967,00
mai/15;SENAI;33.564.543/0001-90;125.354.190,00
mai/15;SESI;33.641.358/0001-52;180.214.592,00
mai/15;SENAC;33.469.172/0001-68;190.691.531,00
mai/15;SESC;33.469.164/0001-11;341.443.211,00
mai/15;SEBRAE;00.330.854/0001-45;242.484.318,00
mai/15;EMBRATUR;35.842.428/0001-66;0
mai/15;DPC;852001 / 00001;12.455.587,00
mai/15;ANAC;122002 / 00001;19.480.138,00
mai/15;SENAR;37.138.245/0001-90;69.520.527,00
mai/15;SEST;73.471.989/0001-95;35.114.292,00
mai/15;SENAT;73.471.963/0001-47;22.223.146,00
mai/15;SESCOOP;03.087.543/0001-86;22.210.052,00
mai/15;SDR;420013 / 00001;18.104.427,00
mai/15;APEX-BR;05.507.500/0001-38;34.971.787,00
mai/15;ABDI;07.200.966/0001-11;5.010.227,00
jun/15;FNDE;153173 / 15253;1.493.670.147,00
jun/15;INCRA;373001 / 37201;104.741.545,00
jun/15;SENAI;33.564.543/0001-90;127.849.778,00
jun/15;SESI;33.641.358/0001-52;184.460.043,00
jun/15;SENAC;33.469.172/0001-68;196.440.178,00
jun/15;SESC;33.469.164/0001-11;351.491.056,00
jun/15;SEBRAE;00.330.854/0001-45;246.852.283,00
jun/15;EMBRATUR;35.842.428/0001-66;0
jun/15;DPC;852001 / 00001;12.053.305,00
jun/15;ANAC;122002 / 00001;17.506.318,00
jun/15;SENAR;37.138.245/0001-90;63.531.019,00
jun/15;SEST;73.471.989/0001-95;36.143.031,00
jun/15;SENAT;73.471.963/0001-47;22.848.653,00
jun/15;SESCOOP;03.087.543/0001-86;22.488.438,00
jun/15;SDR;420013 / 00001;18.472.932,00
jun/15;APEX-BR;05.507.500/0001-38;35.651.779,00
jun/15;ABDI;07.200.966/0001-11;5.107.645,00
jul/15;FNDE;153173 / 15253;1.513.119.629,00
jul/15;INCRA;373001 / 37201;106.734.993,00
jul/15;SENAI;33.564.543/0001-90;130.911.622,00
jul/15;SESI;33.641.358/0001-52;188.067.056,00
jul/15;SENAC;33.469.172/0001-68;198.775.366,00
jul/15;SESC;33.469.164/0001-11;357.769.318,00
jul/15;SEBRAE;00.330.854/0001-45;251.290.982,00
jul/15;EMBRATUR;35.842.428/0001-66;0
jul/15;DPC;852001 / 00001;12.344.448,00
jul/15;ANAC;122002 / 00001;16.927.860,00
jul/15;SENAR;37.138.245/0001-90;55.866.485,00
jul/15;SEST;73.471.989/0001-95;37.714.635,00
jul/15;SENAT;73.471.963/0001-47;24.117.872,00
jul/15;SESCOOP;03.087.543/0001-86;22.770.769,00
jul/15;SDR;420013 / 00001;18.823.330,00
jul/15;APEX-BR;05.507.500/0001-38;36.283.379,00
jul/15;ABDI;07.200.966/0001-11;5.198.127,00
ago/15;FNDE;153173 / 15253;1.423.029.337,00
ago/15;INCRA;373001 / 37201;99.312.699,00
ago/15;SENAI;33.564.543/0001-90;120.579.877,00
ago/15;SESI;33.641.358/0001-52;173.341.613,00
ago/15;SENAC;33.469.172/0001-68;186.518.805,00
ago/15;SESC;33.469.164/0001-11;334.869.835,00
ago/15;SEBRAE;00.330.854/0001-45;236.223.522,00
ago/15;EMBRATUR;35.842.428/0001-66;0
ago/15;DPC;852001 / 00001;12.096.033,00
ago/15;ANAC;122002 / 00001;16.007.685,00
ago/15;SENAR;37.138.245/0001-90;52.971.979,00
ago/15;SEST;73.471.989/0001-95;35.870.763,00
ago/15;SENAT;73.471.963/0001-47;22.634.160,00
ago/15;SESCOOP;03.087.543/0001-86;21.936.120,00
ago/15;SDR;420013 / 00001;17.516.208,00
ago/15;APEX-BR;05.507.500/0001-38;34.121.502,00
ago/15;ABDI;07.200.966/0001-11;4.888.414,00
set/15;FNDE;153173 / 15253;1.562.096.473,00
set/15;INCRA;373001 / 37201;110.041.323,00
set/15;SENAI;33.564.543/0001-90;134.680.242,00
set/15;SESI;33.641.358/0001-52;193.913.488,00
set/15;SENAC;33.469.172/0001-68;204.643.886,00
set/15;SESC;33.469.164/0001-11;368.111.074,00
